indice_tiempo,region_origen,turistas
2012-01-01,CABA,2080971
2012-01-01,Cuyo,854499
2012-01-01,Córdoba,1130606
2012-01-01,Litoral,1767590
2012-01-01,Norte,1266327
2012-01-01,PBA - Partidos del GBA,3967565
2012-01-01,PBA - Resto,697953
2012-01-01,Patagonia,708355
2012-04-01,CABA,813809
2012-04-01,Cuyo,300654
2012-04-01,Córdoba,482237
2012-04-01,Litoral,1124540
2012-04-01,Norte,729555
2012-04-01,PBA - Partidos del GBA,1182355
2012-04-01,PBA - Resto,528724
2012-04-01,Patagonia,262590
2012-07-01,CABA,842686
2012-07-01,Cuyo,333455
2012-07-01,Córdoba,356709
2012-07-01,Litoral,790472
2012-07-01,Norte,756656
2012-07-01,PBA - Partidos del GBA,1680880
2012-07-01,PBA - Resto,470616
2012-07-01,Patagonia,253390
2012-10-01,CABA,943024
2012-10-01,Cuyo,480597
2012-10-01,Córdoba,630517
2012-10-01,Litoral,839347
2012-10-01,Norte,877101
2012-10-01,PBA - Partidos del GBA,1377620
2012-10-01,PBA - Resto,517222
2012-10-01,Patagonia,281958
2013-01-01,CABA,1933362
2013-01-01,Cuyo,640054
2013-01-01,Córdoba,987922
2013-01-01,Litoral,1371996
2013-01-01,Norte,1085913
2013-01-01,PBA - Partidos del GBA,3857022
2013-01-01,PBA - Resto,772761
2013-01-01,Patagonia,620510
2013-04-01,CABA,923067
2013-04-01,Cuyo,422015
2013-04-01,Córdoba,616280
2013-04-01,Litoral,767392
2013-04-01,Norte,813497
2013-04-01,PBA - Partidos del GBA,1409000
2013-04-01,PBA - Resto,491218
2013-04-01,Patagonia,229798
2013-07-01,CABA,1101309
2013-07-01,Cuyo,525840
2013-07-01,Córdoba,509140
2013-07-01,Litoral,903526
2013-07-01,Norte,966129
2013-07-01,PBA - Partidos del GBA,1741650
2013-07-01,PBA - Resto,522374
2013-07-01,Patagonia,323788
2013-10-01,CABA,1045909
2013-10-01,Cuyo,207745
2013-10-01,Córdoba,558504
2013-10-01,Litoral,1153863
2013-10-01,Norte,725144
2013-10-01,PBA - Partidos del GBA,2039943
2013-10-01,PBA - Resto,626753
2013-10-01,Patagonia,349399
2014-01-01,CABA,2043910
2014-01-01,Cuyo,594975
2014-01-01,Córdoba,944738
2014-01-01,Litoral,1740007
2014-01-01,Norte,914573
2014-01-01,PBA - Partidos del GBA,4096759
2014-01-01,PBA - Resto,699288
2014-01-01,Patagonia,618364
2014-04-01,CABA,963397
2014-04-01,Cuyo,345484
2014-04-01,Córdoba,575157
2014-04-01,Litoral,934634
2014-04-01,Norte,565080
2014-04-01,PBA - Partidos del GBA,1413999
2014-04-01,PBA - Resto,446229
2014-04-01,Patagonia,224065
2014-07-01,CABA,1289345
2014-07-01,Cuyo,665858
2014-07-01,Córdoba,438944
2014-07-01,Litoral,1052835
2014-07-01,Norte,634213
2014-07-01,PBA - Partidos del GBA,1421376
2014-07-01,PBA - Resto,493164
2014-07-01,Patagonia,258885
2014-10-01,CABA,854030
2014-10-01,Cuyo,427738
2014-10-01,Córdoba,381130
2014-10-01,Litoral,847024
2014-10-01,Norte,688470
2014-10-01,PBA - Partidos del GBA,1695736
2014-10-01,PBA - Resto,439141
2014-10-01,Patagonia,215017
2015-01-01,CABA,1809142
2015-01-01,Cuyo,631215
2015-01-01,Córdoba,689333
2015-01-01,Litoral,1451589
2015-01-01,Norte,1074811
2015-01-01,PBA - Partidos del GBA,4490310
2015-01-01,PBA - Resto,844984
2015-01-01,Patagonia,681092
2015-04-01,CABA,1099873
2015-04-01,Cuyo,336952
2015-04-01,Córdoba,369983
2015-04-01,Litoral,810842
2015-04-01,Norte,386642
2015-04-01,PBA - Partidos del GBA,1157530
2015-04-01,PBA - Resto,352924
2015-04-01,Patagonia,215927
2015-07-01,CABA,915765
2015-07-01,Cuyo,322456
2015-07-01,Córdoba,516093
2015-07-01,Litoral,878074
2015-07-01,Norte,640711
2015-07-01,PBA - Partidos del GBA,1519619
2015-07-01,PBA - Resto,502073
2015-07-01,Patagonia,311377
2015-10-01,CABA,795682
2015-10-01,Cuyo,280848
2015-10-01,Córdoba,554243
2015-10-01,Litoral,849697
2015-10-01,Norte,514637
2015-10-01,PBA - Partidos del GBA,1486480
2015-10-01,PBA - Resto,400388
2015-10-01,Patagonia,281502
2016-01-01,CABA,1434113
2016-01-01,Cuyo,557665
2016-01-01,Córdoba,572990
2016-01-01,Litoral,1237098
2016-01-01,Norte,836117
2016-01-01,PBA - Partidos del GBA,3989506
2016-01-01,PBA - Resto,671363
2016-01-01,Patagonia,501835
2016-04-01,CABA,404419
2016-04-01,Cuyo,305150
2016-04-01,Córdoba,261633
2016-04-01,Litoral,554043
2016-04-01,Norte,419903
2016-04-01,PBA - Partidos del GBA,785210
2016-04-01,PBA - Resto,307409
2016-04-01,Patagonia,153988
2016-07-01,CABA,1393844
2016-07-01,Cuyo,425436
2016-07-01,Córdoba,406626
2016-07-01,Litoral,1116133
2016-07-01,Norte,656704
2016-07-01,PBA - Partidos del GBA,1683922
2016-07-01,PBA - Resto,511501
2016-07-01,Patagonia,289537
2016-10-01,CABA,903509
2016-10-01,Cuyo,355542
2016-10-01,Córdoba,304497
2016-10-01,Litoral,831391
2016-10-01,Norte,694658
2016-10-01,PBA - Partidos del GBA,2157172
2016-10-01,PBA - Resto,483424
2016-10-01,Patagonia,358567
2017-01-01,CABA,1399313
2017-01-01,Cuyo,494584
2017-01-01,Córdoba,612050
2017-01-01,Litoral,1342423
2017-01-01,Norte,962943
2017-01-01,PBA - Partidos del GBA,4264801
2017-01-01,PBA - Resto,549331
2017-01-01,Patagonia,731605
2017-04-01,CABA,993533
2017-04-01,Cuyo,227825
2017-04-01,Córdoba,434442
2017-04-01,Litoral,752376
2017-04-01,Norte,555913
2017-04-01,PBA - Partidos del GBA,1113031
2017-04-01,PBA - Resto,325315
2017-04-01,Patagonia,223759
2017-07-01,CABA,1225576
2017-07-01,Cuyo,460152
2017-07-01,Córdoba,628647
2017-07-01,Litoral,1113317
2017-07-01,Norte,910110
2017-07-01,PBA - Partidos del GBA,2905286
2017-07-01,PBA - Resto,796757
2017-07-01,Patagonia,363989
2017-10-01,CABA,1105660
2017-10-01,Cuyo,563978
2017-10-01,Córdoba,424785
2017-10-01,Litoral,987151
2017-10-01,Norte,828962
2017-10-01,PBA - Partidos del GBA,2022654
2017-10-01,PBA - Resto,692474
2017-10-01,Patagonia,362143
2018-01-01,CABA,1965185
2018-01-01,Cuyo,550567
2018-01-01,Córdoba,693781
2018-01-01,Litoral,1364522
2018-01-01,Norte,1107228
2018-01-01,PBA - Partidos del GBA,4457473
2018-01-01,PBA - Resto,632453
2018-01-01,Patagonia,650156
2018-04-01,CABA,646725
2018-04-01,Cuyo,205797
2018-04-01,Córdoba,366820
2018-04-01,Litoral,467348
2018-04-01,Norte,492356
2018-04-01,PBA - Partidos del GBA,1506161
2018-04-01,PBA - Resto,325620
2018-04-01,Patagonia,192166
2018-07-01,CABA,982688
2018-07-01,Cuyo,252849
2018-07-01,Córdoba,634243
2018-07-01,Litoral,701325
2018-07-01,Norte,791235
2018-07-01,PBA - Partidos del GBA,1417007
2018-07-01,PBA - Resto,427705
2018-07-01,Patagonia,286174
2018-10-01,CABA,1355230
2018-10-01,Cuyo,309762
2018-10-01,Córdoba,566591
2018-10-01,Litoral,840470
2018-10-01,Norte,512841
2018-10-01,PBA - Partidos del GBA,1948712
2018-10-01,PBA - Resto,520237
2018-10-01,Patagonia,350983
2019-01-01,CABA,1692673
2019-01-01,Cuyo,412375
2019-01-01,Córdoba,735366
2019-01-01,Litoral,1409168
2019-01-01,Norte,806461
2019-01-01,PBA - Partidos del GBA,3696143
2019-01-01,PBA - Resto,688478
2019-01-01,Patagonia,520067
2019-04-01,CABA,800618
2019-04-01,Cuyo,247315
2019-04-01,Córdoba,407942
2019-04-01,Litoral,739980
2019-04-01,Norte,331836
2019-04-01,PBA - Partidos del GBA,1099410
2019-04-01,PBA - Resto,385336
2019-04-01,Patagonia,263873
2019-07-01,CABA,1078794
2019-07-01,Cuyo,344459
2019-07-01,Córdoba,492079
2019-07-01,Litoral,846827
2019-07-01,Norte,504975
2019-07-01,PBA - Partidos del GBA,1944204
2019-07-01,PBA - Resto,500690
2019-07-01,Patagonia,387236
2019-10-01,CABA,976546
2019-10-01,Cuyo,480011
2019-10-01,Córdoba,432178
2019-10-01,Litoral,973127
2019-10-01,Norte,539022
2019-10-01,PBA - Partidos del GBA,2297341
2019-10-01,PBA - Resto,424044
2019-10-01,Patagonia,298142
2020-01-01,CABA,1586221
2020-01-01,Cuyo,431689
2020-01-01,Córdoba,507478
2020-01-01,Litoral,811926
2020-01-01,Norte,810750
2020-01-01,PBA - Partidos del GBA,3745444
2020-01-01,PBA - Resto,491492
2020-01-01,Patagonia,406071
2020-04-01,CABA,27302
2020-04-01,Cuyo,6763
2020-04-01,Córdoba,11395
2020-04-01,Litoral,40092
2020-04-01,Norte,58460
2020-04-01,PBA - Partidos del GBA,8466
2020-04-01,PBA - Resto,3625
2020-04-01,Patagonia,18760
2020-07-01,CABA,121970
2020-07-01,Cuyo,53383
2020-07-01,Córdoba,20244
2020-07-01,Litoral,138593
2020-07-01,Norte,96461
2020-07-01,PBA - Partidos del GBA,166370
2020-07-01,PBA - Resto,42670
2020-07-01,Patagonia,20672
2020-10-01,CABA,280052
2020-10-01,Cuyo,124903
2020-10-01,Córdoba,279092
2020-10-01,Litoral,428246
2020-10-01,Norte,208252
2020-10-01,PBA - Partidos del GBA,972978
2020-10-01,PBA - Resto,214635
2020-10-01,Patagonia,164284
2021-01-01,CABA,1023939
2021-01-01,Cuyo,350706
2021-01-01,Córdoba,509776
2021-01-01,Litoral,759249
2021-01-01,Norte,471317
2021-01-01,PBA - Partidos del GBA,2317481
2021-01-01,PBA - Resto,454727
2021-01-01,Patagonia,343406
2021-04-01,CABA,307068
2021-04-01,Cuyo,162202
2021-04-01,Córdoba,106996
2021-04-01,Litoral,491661
2021-04-01,Norte,327524
2021-04-01,PBA - Partidos del GBA,631720
2021-04-01,PBA - Resto,106424
2021-04-01,Patagonia,115398
2021-07-01,CABA,675884
2021-07-01,Cuyo,224381
2021-07-01,Córdoba,389747
2021-07-01,Litoral,620954
2021-07-01,Norte,512253
2021-07-01,PBA - Partidos del GBA,1149870
2021-07-01,PBA - Resto,311784
2021-07-01,Patagonia,201746
2021-10-01,CABA,697507
2021-10-01,Cuyo,305550
2021-10-01,Córdoba,493867
2021-10-01,Litoral,571444
2021-10-01,Norte,643288
2021-10-01,PBA - Partidos del GBA,2021103
2021-10-01,PBA - Resto,335780
2021-10-01,Patagonia,282718
2022-01-01,CABA,1826251
2022-01-01,Cuyo,572132
2022-01-01,Córdoba,572599
2022-01-01,Litoral,1259602
2022-01-01,Norte,978009
2022-01-01,PBA - Partidos del GBA,5731604
2022-01-01,PBA - Resto,962892
2022-01-01,Patagonia,485307
2022-04-01,CABA,600298
2022-04-01,Cuyo,333212
2022-04-01,Córdoba,586035
2022-04-01,Litoral,613644
2022-04-01,Norte,567734
2022-04-01,PBA - Partidos del GBA,2073115
2022-04-01,PBA - Resto,393235
2022-04-01,Patagonia,215640
2022-07-01,CABA,1545519
2022-07-01,Cuyo,331991
2022-07-01,Córdoba,507828
2022-07-01,Litoral,793267
2022-07-01,Norte,640164
2022-07-01,PBA - Partidos del GBA,1567180
2022-07-01,PBA - Resto,449718
2022-07-01,Patagonia,290633
2022-10-01,CABA,792793
2022-10-01,Cuyo,293505
2022-10-01,Córdoba,852347
2022-10-01,Litoral,859849
2022-10-01,Norte,617772
2022-10-01,PBA - Partidos del GBA,2915790
2022-10-01,PBA - Resto,473876
2022-10-01,Patagonia,343726
2023-01-01,CABA,1894945
2023-01-01,Cuyo,488515
2023-01-01,Córdoba,629467
2023-01-01,Litoral,1246630
2023-01-01,Norte,982256
2023-01-01,PBA - Partidos del GBA,4456898
2023-01-01,PBA - Resto,678732
2023-01-01,Patagonia,742383
2023-04-01,CABA,719691
2023-04-01,Cuyo,265364
2023-04-01,Córdoba,488360
2023-04-01,Litoral,860649
2023-04-01,Norte,421039
2023-04-01,PBA - Partidos del GBA,1259566
2023-04-01,PBA - Resto,527013
2023-04-01,Patagonia,330759
2023-07-01,CABA,669576.67
2023-07-01,Cuyo,499656.25
2023-07-01,Córdoba,639528.7
2023-07-01,Litoral,647390.37
2023-07-01,Norte,442068.13
2023-07-01,PBA - Partidos del GBA,1577307.93
2023-07-01,PBA - Resto,399962.86
2023-07-01,Patagonia,253953.56
2023-10-01,CABA,1068565
2023-10-01,Cuyo,364478
2023-10-01,Córdoba,397724
2023-10-01,Litoral,848136
2023-10-01,Norte,479310
2023-10-01,PBA - Partidos del GBA,1666706
2023-10-01,PBA - Resto,480375
2023-10-01,Patagonia,448382
2024-01-01,CABA,1525824
2024-01-01,Cuyo,678977
2024-01-01,Córdoba,682038
2024-01-01,Litoral,1052185
2024-01-01,Norte,1261257
2024-01-01,PBA - Partidos del GBA,3749944
2024-01-01,PBA - Resto,556263
2024-01-01,Patagonia,537434
2024-04-01,CABA,607249
2024-04-01,Cuyo,198415
2024-04-01,Córdoba,358402
2024-04-01,Litoral,658548
2024-04-01,Norte,582381
2024-04-01,PBA - Partidos del GBA,1192319
2024-04-01,PBA - Resto,295975
2024-04-01,Patagonia,171344
